ID;Bundesland;Nachname_original;Nachname;GND;Geschlecht;Titel;Erscheinungsjahr;Erscheinungsjahr_k;Lit.preis_Name;Lit.preis_Autor_in_Name;Jug.literatur
2709;Rheinland-Pfalz;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Doktor Murkes gesammeltes Schweigen und andere Satiren;1958;1958;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
715;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Doktor Murkes gesammeltes Schweigen und andere Satiren;1958;1958;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2537;Baden-Württemberg;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Geschichten;unbekannt;unbekannt;;;nein
2711;Rheinland-Pfalz;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Gruppenbild mit Dame;1971;1971;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
1223;Bayern;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;unbekannt;unbekannt;1917;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);
363;Mecklenburg-Vorpommern;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;unbekannt;unbekannt;1917;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);
147;Hessen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Wanderer, kommst du nach Spa…;1950;1950;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
714;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Wanderer, kommst du nach Spa…;1950;1950;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2638;Bayern;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Wo warst du, Adam?;1951;1951;;;nein
52;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Brief an die Eltern;1835;1835;;;nein
2412;Sachsen-Anhalt;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Dantons Tod;1835;1835;;;nein
876;Niedersachsen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Dantons Tod;1835;1835;;;nein
1610;Baden-Württemberg;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Dantons Tod;1835;1835;;;nein
2732;Rheinland-Pfalz;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Dantons Tod;1835;1835;;;nein
51;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Dantons Tod;1835;1835;;;nein
50;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Hessischer Landbote;1834;1834;;;nein
55;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
1363;Bremen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
874;Niedersachsen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
2734;Rheinland-Pfalz;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
2240;Sachsen-Anhalt;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
1555;Baden-Württemberg;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Lenz;1839;1839;;;nein
909;Niedersachsen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
1592;Baden-Württemberg;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
3036;Saarland;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
54;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
2733;Rheinland-Pfalz;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
2414;Sachsen-Anhalt;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Leonce und Lena;1836;1836;;;nein
337;Mecklenburg-Vorpommern;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;unbekannt;unbekannt;1813;;;
875;Niedersachsen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
1364;Bremen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
2556;Bayern;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
2685;Brandenburg;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
1512;Baden-Württemberg;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
2735;Rheinland-Pfalz;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
2413;Sachsen-Anhalt;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
67;Hessen;Büchner;Büchner;https://d-nb.info/gnd/118516906;männlich;Woyzeck;1879;1879;;;nein
2128;Sachsen-Anhalt;Bürger;Bürger;https://d-nb.info/gnd/118517104;männlich;Abenteuer des Freiherrn von Münchhausen;1786;1786;;;nein
2736;Rheinland-Pfalz;Bürger;Bürger;https://d-nb.info/gnd/118517104;männlich;Der Bauer an seinen Durchl. Tyrannen;1773;1773;;;nein
845;Niedersachsen;Bürger;Bürger;https://d-nb.info/gnd/118517104;männlich;Des Pfarrers Tochter von Taubenhain;1781;1782;;;nein
653;Niedersachsen;Bürger;Bürger;https://d-nb.info/gnd/118517104;männlich;Wunderbare Reisen zu Wasser und zu Lande – Feldzüge und lustige Abenteuer des Freiherrn von Münchhausen;1786;1786;;;nein
1321;Brandenburg;Babendererde;Babendererde;https://d-nb.info/gnd/120841916;weiblich;Indigosommer;2009;2009;;;ja
2075;Sachsen;Bach;Bach;https://d-nb.info/gnd/12493272X;weiblich;Busfahrt mit Kuhn;2004;2004;;;ja
2156;Sachsen-Anhalt;Bach;Bach;https://d-nb.info/gnd/12493272X;weiblich;Jetzt ist hier;2007;2007;Luchs des Monats (2007);;ja
709;Niedersachsen;Bach;Bach;https://d-nb.info/gnd/12493272X;weiblich;Jetzt ist hier;2007;2007;Luchs des Monats (2007);;ja
316;Mecklenburg-Vorpommern;Bach;Bach;https://d-nb.info/gnd/12493272X;weiblich;Vierzehn;2016;2015;;;ja
168;Hessen;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Das dreißigste Jahr;1961;1961;Deutscher Kritikerpreis (1961);;nein
2692;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Das Spiel ist aus [In: Anrufung des großen Bären];1956;1956;;;nein
175;Hessen;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Der gute Gott von Manhattan;1958;1962;Hörspielpreis der Kriegsblinden (1959);;nein
2690;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Die gestundete Zeit;1953;1953;Literaturpreis der Gruppe 47 (1953);;nein
2694;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Die große Fracht;1964;1964;;;nein
999;Niedersachsen;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Erklär mir, Liebe;1956;1956;Bremer Literaturpreis (1957);;nein
2531;Baden-Württemberg;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Erzählungen;unbekannt;unbekannt;;;nein
2693;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Freies Geleit;1957;1957;;;nein
2228;Sachsen-Anhalt;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Ihr glücklichen Augen (In: Simultan);1972;1972;;;nein
2695;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Malina;1971;1971;;;ja
2691;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Reklame [In: Anrufung des großen Bären];1956;1956;;;nein
2543;Bayern;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;unbekannt;unbekannt;1926;;;
1696;Baden-Württemberg;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;unbekannt;unbekannt;1926;;;
369;Mecklenburg-Vorpommern;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;unbekannt;unbekannt;1926;;;
2696;Rheinland-Pfalz;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;unbekannt;unbekannt;1926;;;
2227;Sachsen-Anhalt;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Undine geht;1961;1961;;;nein
1091;Niedersachsen;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Unter Mördern und Irren;1961;1961;Deutscher Kritikerpreis (1961);;nein
2226;Sachsen-Anhalt;Bachmann;Bachmann;https://d-nb.info/gnd/118505602;weiblich;Unter Mördern und Irren;1961;1961;Deutscher Kritikerpreis (1961);;nein
931;Niedersachsen;Bahr;Bahr;https://d-nb.info/gnd/118505955;männlich;Die Überwindung des Naturalismus;1891;1891;;;nein
2606;Bayern;Baricco;Baricco;https://d-nb.info/gnd/115743030;männlich;Seide;1996;1996;;;nein
2058;Sachsen;Bauer;Bauer;https://d-nb.info/gnd/124462316;weiblich;Der Angst hat, bist doch du;1993;1986;;;ja
647;Niedersachsen;Bauer;Bauer;https://d-nb.info/gnd/133528650;männlich;Nennt mich nicht Ismael;2008;2008;;;ja
2126;Sachsen-Anhalt;Bauer;Bauer;https://d-nb.info/gnd/133528650;männlich;Nennt mich nicht Ismael;2008;2008;;;ja
1319;Brandenburg;Bauer;Bauer;https://d-nb.info/gnd/133528650;männlich;Nennt mich nicht Ismael;2008;2008;;;ja
817;Niedersachsen;Bauersima;Bauersima;https://d-nb.info/gnd/128366974;männlich;norway.today;2000;2000;;;nein
2229;Sachsen-Anhalt;Baum;Baum;https://d-nb.info/gnd/1016386486;weiblich;Vollkommen leblos, bestenfalls tot;2011;2011;;;nein
370;Mecklenburg-Vorpommern;Becher;Becher;https://d-nb.info/gnd/118507931;männlich;unbekannt;unbekannt;1891;;;
234;Hessen;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Bronsteins Kinder;1986;1986;;;nein
1074;Niedersachsen;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Bronsteins Kinder;1986;1986;;;nein
2698;Rheinland-Pfalz;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Irreführung der Behörden;1973;1973;Literaturpreis der Freien Hansestadt Bremen (1974), Nationalpreis der DDR für Literatur II. Klasse (1975);;nein
2697;Rheinland-Pfalz;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
2090;Sachsen;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
185;Hessen;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
1583;Baden-Württemberg;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
2157;Sachsen-Anhalt;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
2997;Saarland;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
710;Niedersachsen;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
2629;Bayern;Becker;Becker;https://d-nb.info/gnd/118829742;männlich;Jakob der Lügner;1969;1969;;;nein
1222;Bayern;Becker;Becker;https://d-nb.info/gnd/118508091;männlich;unbekannt;unbekannt;1959;;;
2699;Rheinland-Pfalz;Becker;Becker;https://d-nb.info/gnd/118508091;männlich;unbekannt;unbekannt;1959;;;
1215;Bayern;Beckett;Beckett;https://d-nb.info/gnd/118508172;männlich;unbekannt;unbekannt;1906;;;
2526;Baden-Württemberg;Beckett;Beckett;https://d-nb.info/gnd/118508172;männlich;Warten auf Godot;1953;1953;;;nein
2448;Sachsen-Anhalt;Beckett;Beckett;https://d-nb.info/gnd/118508172;männlich;Warten auf Godot;1953;1953;;;nein
921;Niedersachsen;Beckett;Beckett;https://d-nb.info/gnd/118508172;männlich;Warten auf Godot;1953;1953;;;nein
1770;Baden-Württemberg;Begley;Begley;https://d-nb.info/gnd/115371915;männlich;Lügen in Zeiten des Krieges;1994;1991;;Jeanette Schocken Preis (1995);nein
1092;Niedersachsen;Begley;Begley;https://d-nb.info/gnd/115371915;männlich;Lügen in Zeiten des Krieges;1994;1991;;Jeanette Schocken Preis (1995);nein
2127;Sachsen-Anhalt;Bekker;Bekker;https://d-nb.info/gnd/120555573;männlich;Herrschaft der Alten;2011;2011;;;ja
2158;Sachsen-Anhalt;Benjamin;Benjamin;https://d-nb.info/gnd/118509039;männlich;Berliner Kindheit um 1900;1950;1950;;;nein
711;Niedersachsen;Benjamin;Benjamin;https://d-nb.info/gnd/118509039;männlich;Berliner Kindheit um 1900;1950;1950;;;nein
2701;Rheinland-Pfalz;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Astern;1936;1936;;;nein
1014;Niedersachsen;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Astern;1936;1936;;;nein
132;Hessen;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Ein Wort (In: Statische Gedichte);1948;1941;;;nein
94;Hessen;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Morgue und andere Gedichte;1912;1912;;;nein
1024;Niedersachsen;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Nachtcafé;1912;1912;;;nein
2702;Rheinland-Pfalz;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Reisen;1950;1950;;;nein
2700;Rheinland-Pfalz;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;Schöne Jugend;1912;1912;;;nein
2540;Bayern;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;unbekannt;unbekannt;1886;;;
1697;Baden-Württemberg;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;unbekannt;unbekannt;1886;;;
2703;Rheinland-Pfalz;Benn;Benn;https://d-nb.info/gnd/118509047;männlich;unbekannt;unbekannt;1886;;;
1086;Niedersachsen;Berg;Berg;https://d-nb.info/gnd/124742823;weiblich;Ein paar Leute suchen das Glück und lachen sich tot;1997;1997;;;nein
2230;Sachsen-Anhalt;Berg;Berg;https://d-nb.info/gnd/124742823;weiblich;Ein paar Leute suchen das Glück und lachen sich tot;1997;1997;;;nein
576;Niedersachsen;Berg;Berg;https://d-nb.info/gnd/124742823;weiblich;Hauptsache weit (In: Das Unerfreuliche zuerst);2001;2001;;;nein
2159;Sachsen-Anhalt;Berg;Berg;https://d-nb.info/gnd/124742823;weiblich;Hauptsache weit;2001;2001;;;nein
1325;Brandenburg;Berkenheger;Berkenheger;https://d-nb.info/gnd/133565777;weiblich;Zeit für die Bombe;1997;1997;;;nein
929;Niedersachsen;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Claus Peymann kauft sich eine Hose und geht mit mir essen (Dramolette);1990;1990;;;nein
1430;Baden-Württemberg;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Der Stimmenimitator;1978;1978;;;nein
1126;Niedersachsen;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Ein Kind;1982;1982;;;nein
240;Hessen;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Ereignisse;1969;1988;;;nein
242;Hessen;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Heldenplatz;1988;1988;;;nein
1667;Baden-Württemberg;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;Heldenplatz;1988;1988;;;nein
1204;Bayern;Bernhard;Bernhard;https://d-nb.info/gnd/118509861;männlich;unbekannt;unbekannt;1931;;;
304;Mecklenburg-Vorpommern;Bertram;Bertram;https://d-nb.info/gnd/129738387;männlich;Der Pfad;2017;2017;;;ja
1151;Niedersachsen;Bessing;Bessing;https://d-nb.info/gnd/124932479;männlich;Tristesse Royale;1999;1999;;;nein
1093;Niedersachsen;Beyer;Beyer;https://d-nb.info/gnd/11548048X;männlich;Flughunde;1995;1995;;;nein
2998;Saarland;Beyer;Beyer;https://d-nb.info/gnd/11548048X;männlich;Flughunde;1995;1995;;;nein
1571;Baden-Württemberg;Beyer;Beyer;https://d-nb.info/gnd/11548048X;männlich;Flughunde;1995;1995;;;nein
1022;Niedersachsen;Beyer;Beyer;https://d-nb.info/gnd/11548048X;männlich;Verklirrter Herbst;1997;1997;;;nein
713;Niedersachsen;Bichsel;Bichsel;https://d-nb.info/gnd/118510649;männlich;Die Tochter (in: Eigentlich möchte Frau Blum den Milchmann kennenlernen);1964;1964;;;nein
648;Niedersachsen;Bichsel;Bichsel;https://d-nb.info/gnd/118510649;männlich;Eigentlich möchte Frau Blum den Milchmann kennenlernen;1964;1964;;;nein
2705;Rheinland-Pfalz;Bichsel;Bichsel;https://d-nb.info/gnd/118510649;männlich;Ein Tisch ist ein Tisch;unbekannt;unbekannt;;;nein
2704;Rheinland-Pfalz;Bichsel;Bichsel;https://d-nb.info/gnd/118510649;männlich;San Salvador;1963;1963;;;nein
1672;Baden-Württemberg;Bichsel;Bichsel;https://d-nb.info/gnd/118510649;männlich;unbekannt;unbekannt;1935;;;
1065;Niedersachsen;Bienek;Bienek;https://d-nb.info/gnd/118510754;männlich;Gedicht von Zeit und Erinnerung III;1965;1965;;;nein
